country,sub_region,fifa_audience_region,utc_offset_june,population_millions,source
Austria,Western Europe,Europe,2,9.2,[1] UN WPP 2024
Switzerland,Western Europe,Europe,2,8.9,[1] UN WPP 2024
Serbia,Southern Europe,Europe,2,6.6,[1] UN WPP 2024
Denmark,Northern Europe,Europe,2,5.9,[1] UN WPP 2024
Norway,Northern Europe,Europe,2,5.5,[1] UN WPP 2024
Slovakia,Eastern Europe,Europe,2,5.4,[1] UN WPP 2024
Croatia,Southern Europe,Europe,2,3.9,[1] UN WPP 2024
Bosnia and Herzegovina,Southern Europe,Europe,2,3.2,[1] UN WPP 2024
Albania,Southern Europe,Europe,2,2.8,[1] UN WPP 2024
Slovenia,Southern Europe,Europe,2,2.1,[1] UN WPP 2024
North Macedonia,Southern Europe,Europe,2,1.8,[1] UN WPP 2024
Kosovo,Southern Europe,Europe,2,1.8,[1] UN WPP 2024
Montenegro,Southern Europe,Europe,2,0.6,[1] UN WPP 2024
Luxembourg,Western Europe,Europe,2,0.7,[1] UN WPP 2024
Malta,Southern Europe,Europe,2,0.5,[1] UN WPP 2024
Andorra,Southern Europe,Europe,2,0.08,[1] UN WPP 2024
Liechtenstein,Western Europe,Europe,2,0.04,[1] UN WPP 2024
San Marino,Southern Europe,Europe,2,0.03,[1] UN WPP 2024
Turkey,Southern Europe,Europe,3,86,[1] UN WPP 2024
Ukraine,Eastern Europe,Europe,3,37,[1] UN WPP 2024
Romania,Eastern Europe,Europe,3,19,[1] UN WPP 2024
Greece,Southern Europe,Europe,3,10.3,[1] UN WPP 2024
Finland,Northern Europe,Europe,3,5.6,[1] UN WPP 2024
Bulgaria,Eastern Europe,Europe,3,6.5,[1] UN WPP 2024
Lithuania,Northern Europe,Europe,3,2.8,[1] UN WPP 2024
Latvia,Northern Europe,Europe,3,1.8,[1] UN WPP 2024
Estonia,Northern Europe,Europe,3,1.4,[1] UN WPP 2024
Cyprus,Southern Europe,Europe,3,1.3,[1] UN WPP 2024
Moldova,Eastern Europe,Europe,3,2.6,[1] UN WPP 2024
Russia UTC+3 (Moscow/Western),Eastern Europe,Europe,3,105,[8] Rosstat
Russia UTC+4 (Samara/Udmurtia),Eastern Europe,Europe,4,15,[8] Rosstat
Russia UTC+5 (Yekaterinburg),Eastern Europe,Europe,5,20,[8] Rosstat
Russia UTC+6 (Omsk),Eastern Europe,Europe,6,8,[8] Rosstat
Russia UTC+7 (Krasnoyarsk),Eastern Europe,Europe,7,8,[8] Rosstat
Russia UTC+8 (Irkutsk),Eastern Europe,Europe,8,5,[8] Rosstat
Russia UTC+9 (Yakutsk),Eastern Europe,Europe,9,3,[8] Rosstat
Russia UTC+10 (Vladivostok),Eastern Europe,Europe,10,4,[8] Rosstat
Russia UTC+11 (Magadan/Sakhalin),Eastern Europe,Europe,11,1.5,[8] Rosstat
Russia UTC+12 (Kamchatka),Eastern Europe,Europe,12,0.5,[8] Rosstat
Belarus,Eastern Europe,Europe,3,9.2,[1] UN WPP 2024
Israel,Middle East (UEFA),Europe,3,9.9,[1] UN WPP 2024
Kazakhstan West,Central Asia (UEFA),Europe,5,5,[1] UN WPP 2024
Kazakhstan East,Central Asia (UEFA),Europe,6,14,[1] UN WPP 2024
USA Eastern,North America,North Central America & Caribbean,-4,152,[2] US Census Bureau
USA Central,North America,North Central America & Caribbean,-5,95,[2] US Census Bureau
USA Mountain,North America,North Central America & Caribbean,-6,18,[2] US Census Bureau
USA Pacific + Arizona,North America,North Central America & Caribbean,-7,60,[2] US Census Bureau
USA Alaska,North America,North Central America & Caribbean,-8,0.7,[2] US Census Bureau
USA Hawaii,North America,North Central America & Caribbean,-10,1.5,[2] US Census Bureau
Canada Atlantic (NB/NS/PEI),North America,North Central America & Caribbean,-3,2,[3] Statistics Canada
Canada Newfoundland,North America,North Central America & Caribbean,-2.5,0.5,[3] Statistics Canada
Canada Eastern (ON/QC),North America,North Central America & Caribbean,-4,23,[3] Statistics Canada
Canada Central (MB/SK),North America,North Central America & Caribbean,-5,2.5,[3] Statistics Canada
Canada Mountain (AB),North America,North Central America & Caribbean,-6,4.7,[3] Statistics Canada
Canada Pacific (BC),North America,North Central America & Caribbean,-7,5.4,[3] Statistics Canada
Mexico Central/Most,North America,North Central America & Caribbean,-6,125,[7] INEGI Mexico
Mexico Sonora,North America,North Central America & Caribbean,-7,3.1,[7] INEGI Mexico
Mexico Baja California,North America,North Central America & Caribbean,-7,3.8,[7] INEGI Mexico
Mexico Quintana Roo,North America,North Central America & Caribbean,-5,1.9,[7] INEGI Mexico
Guatemala,Central America,North Central America & Caribbean,-6,18,[1] UN WPP 2024
Honduras,Central America,North Central America & Caribbean,-6,10.5,[1] UN WPP 2024
El Salvador,Central America,North Central America & Caribbean,-6,6.3,[1] UN WPP 2024
Nicaragua,Central America,North Central America & Caribbean,-6,7,[1] UN WPP 2024
Costa Rica,Central America,North Central America & Caribbean,-6,5.2,[1] UN WPP 2024
Panama,Central America,North Central America & Caribbean,-5,4.5,[1] UN WPP 2024
Belize,Central America,North Central America & Caribbean,-6,0.4,[1] UN WPP 2024
Cuba,Caribbean,North Central America & Caribbean,-4,11,[1] UN WPP 2024
Haiti,Caribbean,North Central America & Caribbean,-4,12,[1] UN WPP 2024
Dominican Republic,Caribbean,North Central America & Caribbean,-4,11.3,[1] UN WPP 2024
Jamaica,Caribbean,North Central America & Caribbean,-5,2.8,[1] UN WPP 2024
Puerto Rico,Caribbean,North Central America & Caribbean,-4,3.2,[1] UN WPP 2024
Trinidad and Tobago,Caribbean,North Central America & Caribbean,-4,1.5,[1] UN WPP 2024
Bahamas,Caribbean,North Central America & Caribbean,-4,0.4,[1] UN WPP 2024
Barbados,Caribbean,North Central America & Caribbean,-4,0.3,[1] UN WPP 2024
Guadeloupe,Caribbean,North Central America & Caribbean,-4,0.4,[1] UN WPP 2024
Martinique,Caribbean,North Central America & Caribbean,-4,0.35,[1] UN WPP 2024
Curacao,Caribbean,North Central America & Caribbean,-4,0.15,[1] UN WPP 2024
Aruba,Caribbean,North Central America & Caribbean,-4,0.11,[1] UN WPP 2024
US Virgin Islands,Caribbean,North Central America & Caribbean,-4,0.1,[1] UN WPP 2024
Cayman Islands,Caribbean,North Central America & Caribbean,-5,0.07,[1] UN WPP 2024
Bermuda,Caribbean,North Central America & Caribbean,-3,0.06,[1] UN WPP 2024
Suriname,Caribbean,North Central America & Caribbean,-3,0.6,[1] UN WPP 2024
Guyana,Caribbean,North Central America & Caribbean,-4,0.8,[1] UN WPP 2024
Brazil UTC-3 (Brasilia/most states),South America,South America,-3,195,[4] IBGE Brazil
Brazil UTC-4 (Amazonas/MT/MS),South America,South America,-4,18,[4] IBGE Brazil
Brazil UTC-5 (Acre),South America,South America,-5,0.9,[4] IBGE Brazil
Argentina,South America,South America,-3,46,[1] UN WPP 2024
Colombia,South America,South America,-5,52,[1] UN WPP 2024
Peru,South America,South America,-5,34,[1] UN WPP 2024
Venezuela,South America,South America,-4,29,[1] UN WPP 2024
Chile,South America,South America,-4,20,[1] UN WPP 2024
Ecuador,South America,South America,-5,18,[1] UN WPP 2024
Bolivia,South America,South America,-4,12.5,[1] UN WPP 2024
Paraguay,South America,South America,-4,6.8,[1] UN WPP 2024
Uruguay,South America,South America,-3,3.4,[1] UN WPP 2024
